field,Ex. Value,PyTypes,Import Hard Type,Export Hard Type,HandTouch,aliasObj,aliasParam,aliasObjField
id,2,Int64,,,,,,
name,Celery,str,,,,,,
description,,str,,,,,,
product_group_id,2.0,Int64,True,,,product_groups,active=1,name
active,1,boolean,True,int64,,,,
location_id,2,Int64,,,,locations,active=1,name
shopping_location_id,1.0,Int64,True,,,shopping_locations,active=1,name
qu_id_purchase,3,Int64,,,,quantity_units,active=1,name
qu_id_stock,3,Int64,,,,quantity_units,active=1,name
min_stock_amount,1,Float64,,,,,,
default_best_before_days,14,Int64,,,,,,
default_best_before_days_after_open,0,Int64,,,,,,
default_best_before_days_after_freezing,0,Int64,,,,,,
default_best_before_days_after_thawing,0,Int64,,,,,,
picture_file_name,,str,,,,,,
enable_tare_weight_handling,0,boolean,True,int64,,,,
tare_weight,0,Float64,,,,,,
not_check_stock_fulfillment_for_recipes,0,Int64,,,,,,
parent_product_id,,Int64,,,,products,active=1,name
calories,0.0,Float64,,,,,,
cumulate_min_stock_amount_of_sub_products,0,Int64,,,,,,
due_type,1,Int64,,,,,,
quick_consume_amount,1,Int64,,,,,,
hide_on_stock_overview,0,boolean,True,int64,,,,
default_stock_label_type,0,Int64,,,,,,
should_not_be_frozen,0,boolean,True,int64,,,,
treat_opened_as_out_of_stock,1,boolean,True,int64,,,,
no_own_stock,0,boolean,True,int64,,,,
default_consume_location_id,2.0,Int64,,,,locations,active=1,name
move_on_open,0,boolean,True,int64,,,,
row_created_timestamp,2024-07-22 17:14:02,datetime,,datetimestr,,,,
qu_id_consume,3,Int64,,,,quantity_units,active=1,name
auto_reprint_stock_label,0,boolean,True,int64,,,,
quick_open_amount,1,Int64,,,,,,
qu_id_price,3,Int64,,,,quantity_units,active=1,name
product_id,106,Int64,,,,products,active=1,name
amount,-1,Int64,,,,,,
best_before_date,2025-01-26,date,,datestr,,,,
purchased_date,2024-07-30,date,,datestr,,,,
used_date,2024-08-01,date,,datestr,,,,
spoiled,0,boolean,True,int64,,,,
stock_id,66a931f018fe8,str,,,,,,
transaction_type,consume,str,,,,,,
price,,Decimal,True,str,,,,
undone,0,boolean,True,int64,,,,
undone_timestamp,,datetime,,datetimestr,,,,
opened_date,,date,,datestr,,,,
recipe_id,,str,,,,,,
correlation_id,,str,,,,,,
transaction_id,66aae9d09505b,str,,,,,,
stock_row_id,,str,,,,,,
user_id,3,Int64,,,,users,,username
note,,str,,,,,,
period_type,weekly,str,,,,,,
period_days,1,Int64,,,,,,
period_config,sunday,str,,,,,,
track_date_only,1,boolean,True,int64,,,,
rollover,0,boolean,True,int64,,,,
assignment_type,in-alphabetical-order,str,,,,,,
assignment_config,2,Int64,,,,,,
next_execution_assigned_to_user_id,2,Int64,,,,,,
consume_product_on_execution,1,Int64,,,,,,
product_amount,1,Int64,,,,,,
period_interval,4,Int64,,,,,,
start_date,2024-07-13 18:15:49,datetime,,datetimestr,,,,
rescheduled_date,,date,,,,,,
rescheduled_next_execution_assigned_to_user_id,,Int64,,,,,,
chore_id,2,Int64,,,,,,
tracked_time,2024-06-15 00:00:00,datetime,,datetimestr,,,,
done_by_user_id,2,Int64,,,,,,
skipped,1,boolean,True,int64,,,,
is_freezer,0,boolean,True,int64,,,,
sort_number,-1,Int64,,,,,,
time_info,,str,,,,,,
barcode,00640275,str,,,,,,
qu_id,3,Int64,,,,,,
last_price,,Decimal,,,,,,
from_qu_id,5,Int64,,,,,,
to_qu_id,2,Int64,,,,,,
factor,4,Int64,,,,,,
from_qu_name,Piece,str,,,,,,
from_qu_name_plural,Pieces,str,,,,,,
to_qu_name,Piece,str,,,,,,
to_qu_name_plural,Pieces,str,,,,,,
path,/2/2/,str,,,,,,
name_plural,Pieces,str,,,,,,
plural_forms,,str,,,,,,
shopping_list_id,1,Int64,,,,,,
done,0,boolean,True,int64,,,,
open,1,boolean,True,int64,,,,
location_name,01.Fridge,str,,,,,,
location_is_freezer,0,boolean,True,int64,,,,
username,admin,str,,,,,,
first_name,,str,,,,,,
last_name,,str,,,,,,
display_name,admin,str,,,,,,
